;Indeks;Månedsendring;Tolvmånedsendring
September 2021;152,4;8,0;57,8
August 2021;141,1;5,9;50,1
Juli 2021;133,2;4,6;43,4
Juni 2021;127,4;4,6;37,1
Mai 2021;121,8;2,8;29,4
April 2021;118,5;0,1;22,5
Mars 2021;118,4;-0,2;18,4
Februar 2021;118,6;5,4;9,7
Januar 2021;112,5;5,3;0,6
Desember 2020;106,8;1,6;-5,7
November 2020;105,1;4,5;-3,4
Oktober 2020;100,6;4,1;-6,0
September 2020;96,6;2,8;-9,6
August 2020;94,0;1,2;-12,1
Juli 2020;92,9;0,0;-13,3
Juni 2020;92,9;-1,3;-14,4
Mai 2020;94,1;-2,7;-17,5
April 2020;96,7;-3,3;-16,1
Mars 2020;100,0;-7,5;-12,6
Februar 2020;108,1;-3,3;-7,4
Januar 2020;111,8;-1,3;-3,9
Desember 2019;113,3;4,1;-2,2
November 2019;108,8;1,7;-9,5
Oktober 2019;107,0;0,1;-13,8
September 2019;106,9;0,0;-10,7
